supplier_id,suplier_name,service_zips,product_categories,customer_satisfaction_score,can_mail_order?
SUP-0188,Prime Services Hub #188,77032-77099,glucose meter,8.9,y
SUP-0189,ProCare Wellness Express #189,77187-77244,"ice machine, glucose meter, traction device, shower chair, back brace, walker, blood pressure monitor, rollator, cane, cpm machine, oxygen, compression stockings, cervical collar, heating pad, crutches, patient lift, commode",no ratings yet,n
SUP-0190,Atlantic Solutions Depot #190,2167-2253,"crutches, patient lift, hospital bed, tens unit, glucose meter, cervical collar",8.1,n
SUP-0191,QuickMed Health Depot #191,90186-90198,"compression stockings, glucose meter, nebulizer",7.9,y
SUP-0192,DME Therapeutics Center #192,90020-90114,"shower chair, hospital bed, cervical collar",7.0,n
SUP-0193,Sunrise Ortho Inc #193,10211-10267,"knee scooter, shower chair, crutches, wheelchair, cpap, patient lift, walker",7.6,n
SUP-0194,Atlantic Products Hub #194,"2245-2279, 2284, 60860, 77033, 77110, 90043",cpm machine,no ratings yet,n
SUP-0195,Atlantic Therapeutics LLC #195,90064-90110,commode,5.4,n
SUP-0196,Home Prosthetics Direct #196,"2127, 10055, 10110, 60718, 60814, 60852","hospital bed, blood pressure monitor, heating pad",6.7,n
SUP-0197,Pacific Ortho Inc #197,"2122, 2164, 2171, 10285, 90065, 90230, 90249",blood pressure monitor,no ratings yet,y
SUP-0198,Home Therapeutics Source #198,2157-2203,"back brace, cpap",7.6,n
SUP-0199,ProCare Health LLC #199,2375-2387,"cpap, walker, cervical collar, crutches, ice machine, ankle brace, heating pad, wheelchair, shower chair, blood pressure monitor",10.0,y
SUP-0200,QuickMed Therapeutics Express #200,90284-90296,"back brace, tens unit, hospital bed, heating pad, cpm machine",9.1,y
SUP-0201,Med Services Group #201,10298-10350,heating pad,7.4,n
SUP-0202,ProCare Homecare Plus #202,77033-77101,compression stockings,no ratings yet,y
SUP-0203,Health Services Corp #203,90243-90285,tens unit,6.1,y
SUP-0204,Health Prosthetics Depot #204,"2104, 60756, 60822, 60897","glucose meter, commode, nebulizer, traction device, heating pad, oxygen, cpm machine, blood pressure monitor, ice machine",no ratings yet,n
SUP-0205,Life Therapeutics Corp #205,"60608, 60630, 60674, 90158","commode, walker, knee scooter, heating pad, back brace",8.8,n
SUP-0206,Health Health Depot #206,60863-60959,ankle brace,no ratings yet,n
SUP-0207,ProCare Medical Inc #207,"2113, 2125, 2365, 2379, 10067, 10158, 60744, 60753, 60762, 60764, 60787, 77016, 90044, 90126, 90195",heating pad,5.9,n
SUP-0208,Metro Health Co #208,2366-2425,"cpm machine, wheelchair, knee scooter, compression stockings, shower chair, crutches, nebulizer, tens unit, cane, blood pressure monitor, ice machine, back brace",8.3,y
SUP-0209,Pacific Products Partners #209,90278-90325,"walker, wheelchair, tens unit, commode, heating pad, oxygen, cpap",no ratings yet,y
SUP-0210,Home Supply Center #210,60884-60967,"shower chair, blood pressure monitor, crutches",6.0,n
SUP-0211,FirstChoice Therapeutics Direct #211,90038-90064,"blood pressure monitor, knee scooter, walker, oxygen, heating pad, cervical collar, patient lift, commode, rollator, compression stockings, cpm machine, ankle brace, back brace, ice machine, wheelchair, nebulizer, crutches, shower chair, cpap, traction device, tens unit",5.8,y
SUP-0212,Prime Products Express #212,"2233, 2296, 2393, 10192, 60623, 77017, 77047, 77052, 90017, 90063, 90083, 90117, 90154","glucose meter, rollator, back brace, ankle brace, blood pressure monitor, traction device, cpm machine, compression stockings, ice machine, crutches",6.9,n
SUP-0213,Vital Solutions Depot #213,"2226-2261, 2132, 10150, 90215",knee scooter,5.7,y
SUP-0214,Pacific Homecare Network #214,"2159, 2258, 2354, 10218, 10251, 10268, 60656, 60761, 77197","cervical collar, cane, back brace",7.3,y
SUP-0215,Sunrise Mobility Group #215,"77168-77214, 77090, 77028, 2224","nebulizer, crutches, wheelchair, ankle brace, blood pressure monitor, hospital bed, oxygen, knee scooter, cpap, cane, walker, commode, tens unit, heating pad, cervical collar, traction device, cpm machine, shower chair",7.9,n
SUP-0216,Atlantic Ortho Direct #216,"2337, 2354, 2371, 10105, 10151, 60745, 60794, 77100, 77293","shower chair, traction device, cane, cervical collar",5.7,y
SUP-0217,Pacific Therapeutics Partners #217,77261-77322,"back brace, cervical collar",7.6,y
SUP-0218,QuickMed Equipment Partners #218,"60684-60719, 60615, 90020, 60691, 2242, 2247","nebulizer, ankle brace, heating pad, glucose meter",5.3,n
SUP-0219,Elite Solutions Center #219,"10243-10269, 2386, 77168, 90282, 10106, 2399","cervical collar, traction device, cpap, back brace, rollator",7.2,y
SUP-0220,Home Mobility Source #220,"2169, 2266, 2352, 10128, 10283, 60668, 77126, 90057, 90161, 90250, 90294","glucose meter, commode, knee scooter, patient lift, heating pad",7.2,n
SUP-0221,Allied Devices Plus #221,"2346, 60612, 60614, 77162, 77273, 77293","glucose meter, nebulizer, heating pad, patient lift, cpm machine, crutches, cane, hospital bed, oxygen",9.6,y
SUP-0222,National Homecare LLC #222,"2185, 2307, 2355, 77115, 77140, 77227, 77257, 77258, 90148, 90230",shower chair,6.2,y
SUP-0223,Health Products Express #223,"2171, 10108, 10206, 60679, 60849, 90274",cervical collar,no ratings yet,n
SUP-0224,Life Mobility Depot #224,"2345-2367, 60660, 77286, 90127",blood pressure monitor,7.3,n
SUP-0225,Health Rehab Inc #225,"2218, 10075, 60816, 77083, 77294","crutches, rollator, shower chair, cane, glucose meter, wheelchair",9.4,n
SUP-0226,QuickMed Wellness Inc #226,"2240-2262, 60680",knee scooter,7.0,y
SUP-0227,National Devices Depot #227,77208-77272,"hospital bed, traction device",no ratings yet,n
SUP-0228,FirstChoice Services Group #228,00100-99999,"cpm machine, glucose meter, crutches, rollator, wheelchair",6.8,y
SUP-0229,Atlantic Homecare Group #229,"2157, 60631, 60833, 77029","walker, cane, tens unit, crutches, heating pad, cpap, rollator, cervical collar",2.7,y
SUP-0230,Vital Rehab Plus #230,77127-77224,"oxygen, knee scooter, wheelchair, heating pad, blood pressure monitor, rollator",no ratings yet,n
SUP-0231,QuickMed Supply Hub #231,77168-77244,"walker, rollator, nebulizer",no ratings yet,n
SUP-0232,Health Wellness Inc #232,2389-2406,"wheelchair, ankle brace, hospital bed, cpm machine",8.3,n
SUP-0233,Elite Health Co #233,"2170, 2312, 10065, 10124, 10131, 10142, 10278, 60840, 60863, 77070, 77289, 90118, 90127, 90298","knee scooter, hospital bed, blood pressure monitor, traction device, patient lift",no ratings yet,n
SUP-0234,DME Equipment Express #234,"10008, 10047, 60614, 77158, 90295","patient lift, hospital bed, cpap, knee scooter, heating pad",8.2,n
SUP-0235,Health Ortho Depot #235,"2118, 10033, 10069, 10091, 10100, 10138, 10207, 60826, 77124, 77194, 77203, 90021, 90029, 90181, 90245","back brace, cervical collar, oxygen",9.8,y
SUP-0236,Elite Services Hub #236,60722-60770,"cpap, ice machine, crutches, cpm machine, back brace, patient lift, commode, walker, nebulizer, ankle brace",9.1,n
SUP-0237,Pacific Homecare Direct #237,"2173, 2305, 60618, 60773, 77078, 77163, 77195","knee scooter, back brace, patient lift, ice machine, tens unit, traction device, oxygen",no ratings yet,y
SUP-0238,Prime Services Depot #238,"2300, 10106, 10190, 60762, 60775, 77092, 77251, 90043, 90184, 90288","compression stockings, rollator, traction device, patient lift, wheelchair, nebulizer",6.2,n
SUP-0239,National Rehab Co #239,"2184, 10241, 77198, 90042, 90229, 90246","patient lift, glucose meter, crutches",5.6,y
SUP-0240,QuickMed Rehab Plus #240,2264-2300,"back brace, rollator, cpap, wheelchair, cervical collar",no ratings yet,n
SUP-0241,Elite Devices Source #241,"2370, 60678, 60780, 77103, 77173","patient lift, tens unit, traction device, glucose meter, cpm machine, nebulizer, rollator, knee scooter, commode",6.7,y
SUP-0242,Home Homecare Express #242,90031-90108,blood pressure monitor,5.7,n
SUP-0243,Metro Health Source #243,"2137, 2239, 10124, 60767, 90070, 90111","nebulizer, traction device, wheelchair, ankle brace, tens unit, patient lift, rollator, ice machine, shower chair, walker",4.8,y
SUP-0244,National Medical Express #244,2192-2215,"cervical collar, cpap, compression stockings, shower chair, oxygen, cpm machine, heating pad, rollator, hospital bed, back brace, commode, traction device, walker, crutches, cane, glucose meter, wheelchair, ice machine, ankle brace",8.6,y
SUP-0245,Regional Mobility Express #245,10088-10108,"tens unit, glucose meter, rollator, cane, oxygen",5.0,y
SUP-0246,Elite Wellness Corp #246,00100-99999,cpm machine,6.6,n
SUP-0247,Pacific Medical Group #247,2140-2188,cpap,6.8,n
SUP-0248,Vital Services Direct #248,77041-77115,"back brace, cane, ice machine, cpap, blood pressure monitor, glucose meter, hospital bed, rollator",no ratings yet,y
SUP-0249,ProCare Wellness Group #249,"10176, 60607, 60781, 60887, 77082, 90004, 90071, 90158, 90197","blood pressure monitor, cpm machine, cervical collar, hospital bed, traction device, tens unit",7.1,y
SUP-0250,Atlantic Ortho Corp #250,"2123, 2344, 60885, 77085","cane, ankle brace, blood pressure monitor, heating pad, patient lift",no ratings yet,n
SUP-0251,Pacific Prosthetics Direct #251,00100-99999,"wheelchair, patient lift",7.1,n
SUP-0252,Elite Therapeutics Inc #252,77072-77116,"cervical collar, blood pressure monitor, commode, ice machine, cpm machine",6.4,y
SUP-0253,Metro Homecare Depot #253,90101-90169,crutches,no ratings yet,y
SUP-0254,Sunrise Mobility Center #254,"2272-2309, 10279, 60618, 60659, 90040, 90228","commode, hospital bed, glucose meter, crutches",7.1,n
SUP-0255,Elite Ortho Group #255,"2321, 2358, 10234, 60750, 60807, 77111, 90017",patient lift,no ratings yet,n
SUP-0256,Prime Wellness Center #256,"2226, 10142, 10286, 60623, 60775, 60840, 60869, 77017, 77197, 77219, 90102, 90153, 90183, 90269",shower chair,5.6,n
SUP-0257,Central Therapeutics Co #257,60875-60961,"cane, cpap, traction device, heating pad, commode, back brace",8.0,n
SUP-0258,Regional Ortho Partners #258,"2155-2165, 77231","knee scooter, heating pad, hospital bed",6.0,y
SUP-0259,Care Wellness LLC #259,"10238, 10291, 60641, 60716","oxygen, nebulizer, heating pad",4.9,n
SUP-0260,ProCare Services LLC #260,"2260, 2334, 2350, 10047, 10224, 10236, 60680, 60705, 77029, 77038, 77059, 77201, 90132, 90191, 90260","cpap, hospital bed, tens unit, commode, traction device",9.0,y
SUP-0261,Elite Mobility Direct #261,00100-99999,"walker, blood pressure monitor, rollator, cane",7.4,n
SUP-0262,Atlantic Services Group #262,60851-60928,"shower chair, hospital bed, wheelchair, walker, rollator, cane, heating pad, patient lift, knee scooter, crutches, blood pressure monitor, glucose meter, oxygen, cervical collar, nebulizer, back brace",6.6,y
SUP-0263,Atlantic Homecare Inc #263,2171-2254,"nebulizer, tens unit, patient lift",8.0,n
SUP-0264,Life Therapeutics Inc #264,77096-77146,"back brace, heating pad, ankle brace, nebulizer, cervical collar, compression stockings, hospital bed, oxygen, tens unit, rollator",4.5,n
SUP-0265,Med Devices Co #265,77150-77164,"commode, knee scooter, rollator, wheelchair",8.5,n
SUP-0266,QuickMed Health Hub #266,"2107, 2125, 2314, 2316, 2322, 10067, 10086, 10210, 60612, 60754, 60873, 77149, 77208, 90143, 90277","knee scooter, cane",7.2,n
SUP-0267,Atlantic Prosthetics Source #267,2185-2273,compression stockings,9.7,n
SUP-0268,Elite Services Express #268,"2257, 2376, 10196, 10278, 60602, 60665, 77046, 77249, 77294, 90196, 90246","ice machine, back brace, cpm machine, tens unit, cervical collar, shower chair, cpap, rollator, glucose meter, wheelchair, cane, hospital bed, nebulizer, compression stockings, patient lift, blood pressure monitor, oxygen, commode, knee scooter, heating pad, crutches, ankle brace, traction device",7.0,n
SUP-0269,ProCare Wellness Partners #269,10235-10326,"blood pressure monitor, patient lift, hospital bed, compression stockings, ice machine, tens unit, nebulizer, cpm machine",4.7,y
SUP-0270,Vital Devices Inc #270,2276-2373,"cane, tens unit, knee scooter, ankle brace, wheelchair, commode",10.0,y
SUP-0271,Home Rehab Depot #271,"10169, 10192, 60741, 60764, 77214, 90145, 90165","back brace, hospital bed, tens unit, crutches, cpap, ice machine, blood pressure monitor, cane, ankle brace, oxygen, shower chair, wheelchair, patient lift",7.0,n
SUP-0272,ProCare Medical Co #272,10217-10315,blood pressure monitor,9.3,y
SUP-0273,Atlantic Rehab Corp #273,"2105, 2290, 2357, 10018, 10141, 10273, 10293, 60722, 77038, 77138, 90054, 90118, 90136, 90191, 90284","ice machine, shower chair, traction device, knee scooter, compression stockings, blood pressure monitor, cane",no ratings yet,y
SUP-0274,Regional Services Direct #274,"10173, 77209, 77210, 77269, 90125","walker, ankle brace, traction device, crutches",8.4,n
SUP-0275,Prime Homecare Direct #275,"2217, 60793, 77192",nebulizer,9.8,y
SUP-0276,Atlantic Rehab Partners #276,"2168, 2322, 10029, 10035, 10139, 10150, 60751, 60864, 77055, 77238, 90007, 90203","hospital bed, oxygen",8.4,n
SUP-0277,Central Mobility Source #277,"2251, 2302, 2305, 10162, 10172, 60637, 60672, 60803, 77014, 77020, 77118, 77270, 90066","crutches, walker",8.1,y
SUP-0278,Central Health Plus #278,10159-10254,"cane, ankle brace, cervical collar, walker, commode, nebulizer, heating pad",6.7,n
SUP-0279,Allied Equipment Partners #279,"2136, 2220, 2276, 2384, 10061, 10131, 10158, 10242, 60689, 60882, 77240, 77252, 77259, 90090, 90263","nebulizer, rollator",8.4,n
SUP-0280,DME Supply Source #280,10007-10048,heating pad,9.2,y
SUP-0281,Health Therapeutics Center #281,"2215-2245, 60855, 90280","rollator, heating pad",no ratings yet,n
SUP-0282,Health Equipment Group #282,10206-10224,"crutches, glucose meter, blood pressure monitor, patient lift, knee scooter, ankle brace, heating pad, compression stockings",7.5,y
SUP-0283,Atlantic Devices Plus #283,"77280-77305, 10014, 60842",patient lift,4.6,n
SUP-0284,Care Services Co #284,2258-2281,"ice machine, nebulizer, back brace",7.8,y
SUP-0285,Metro Rehab Network #285,60835-60855,"tens unit, hospital bed, blood pressure monitor",7.9,y
SUP-0286,Home Supply Corp #286,"2131, 10153, 60654, 60671, 60807, 77180, 77258, 90240","rollator, cane, cervical collar, walker, commode, knee scooter, wheelchair, glucose meter, ice machine, back brace, cpm machine, shower chair, tens unit",4.1,y
SUP-0287,National Prosthetics Source #287,10111-10162,walker,7.7,y
SUP-0288,QuickMed Medical Depot #288,"2130, 2330, 2342, 10064, 60831","cane, cervical collar, ankle brace, back brace, cpap",no ratings yet,n
SUP-0289,Atlantic Products Depot #289,"10299-10346, 10154, 10045, 10133",tens unit,9.2,n
SUP-0290,Pacific Health Co #290,"10087-10133, 90288, 60811, 2220, 10061","commode, heating pad, compression stockings, cpm machine, knee scooter",9.4,y
SUP-0291,Sunrise Devices Group #291,2311-2391,"cpm machine, hospital bed",no ratings yet,y
SUP-0292,QuickMed Supply Depot #292,"90010-90044, 2186, 2319, 2196","hospital bed, cpm machine, commode, ankle brace",7.6,n
SUP-0293,Health Ortho Plus #293,90120-90150,traction device,10.0,n
SUP-0294,Health Ortho Group #294,2282-2314,rollator,6.9,n
SUP-0295,Atlantic Devices Hub #295,"2208, 2212, 2314, 10078, 60635, 77061",cpap,5.6,y
SUP-0296,FirstChoice Medical Partners #296,"77067-77098, 60665, 10122",rollator,7.5,n
SUP-0297,Atlantic Health Partners #297,2152-2205,"commode, wheelchair, ice machine",7.6,n
SUP-0298,Pacific Equipment Source #298,"90183-90207, 77061, 60777, 60631, 90215, 60606",wheelchair,no ratings yet,n
SUP-0299,Elite Mobility Network #299,"90017-90038, 60654, 90057, 77154, 90114, 2362",nebulizer,no ratings yet,n
SUP-0300,Metro Services Partners #300,"90113, 90177, 90256, 90298","ankle brace, cpm machine, compression stockings, cpap, blood pressure monitor, heating pad, walker, cane, wheelchair",no ratings yet,n
SUP-0301,Central Equipment Direct #301,2280-2359,"rollator, tens unit, traction device, cpap, commode",7.1,y
SUP-0302,Allied Health LLC #302,"2192, 2324, 10154, 10191, 60695, 77031, 90021, 90061, 90247",tens unit,6.6,n
SUP-0303,Life Medical LLC #303,"2310, 2338, 60841, 90232, 90283, 90299","crutches, cpap, cane, back brace",5.3,y
SUP-0304,Care Mobility LLC #304,"2173, 2187, 10053, 10168, 10199, 10237, 77051, 77110, 77125, 77299, 90034, 90085, 90112","nebulizer, traction device, cpm machine, blood pressure monitor, tens unit",6.5,y
SUP-0305,Regional Services Inc #305,"2104, 2156, 2359, 10127, 77165, 77241, 77252",walker,8.2,n
SUP-0306,Elite Supply Express #306,"2176, 2179, 2274, 2300, 2376, 60615, 60860, 77184, 90212",walker,no ratings yet,n
SUP-0307,QuickMed Ortho Hub #307,90076-90101,"commode, wheelchair, compression stockings, traction device, cervical collar, back brace, ice machine, blood pressure monitor, patient lift, cane, nebulizer, glucose meter, oxygen, crutches, shower chair, walker, rollator, ankle brace",7.7,y
SUP-0308,Pacific Prosthetics Corp #308,10268-10331,cervical collar,no ratings yet,n
SUP-0309,DME Rehab LLC #309,10147-10225,"cpm machine, hospital bed, tens unit, nebulizer, rollator, traction device, back brace, commode, wheelchair",5.3,n
SUP-0310,Regional Rehab Partners #310,10244-10288,"glucose meter, crutches, walker, cpm machine, nebulizer, cane",5.5,y
SUP-0311,National Homecare Plus #311,60738-60801,"compression stockings, knee scooter, wheelchair, ice machine, nebulizer, oxygen",7.8,y
SUP-0312,National Homecare Express #312,"2138, 2277, 2368, 10060, 10068, 10104, 10119, 60741, 77057, 77096, 77109, 77113, 77212, 77263, 90248","oxygen, hospital bed, tens unit, cane, traction device",no ratings yet,y
SUP-0313,Sunrise Wellness Inc #313,"2383-2415, 77036, 77231, 90215",ankle brace,5.4,y
SUP-0314,Elite Ortho Group #314,"77106-77133, 2255, 10042, 90202, 10019","tens unit, commode, shower chair",7.3,n
SUP-0315,Allied Mobility Direct #315,"2230-2253, 60621, 90191, 2270, 90082","ankle brace, oxygen",9.0,n
SUP-0316,Atlantic Therapeutics Depot #316,60753-60850,blood pressure monitor,6.8,y
SUP-0317,National Supply Inc #317,77030-77116,"traction device, cervical collar, wheelchair, ankle brace",8.3,n
SUP-0318,Allied Rehab Direct #318,"2178, 2298, 2375, 2398, 10073, 60705, 77090, 77157, 90112, 90180, 90210, 90255, 90265, 90292","commode, traction device, patient lift, crutches",no ratings yet,y
SUP-0319,Allied Homecare Center #319,77172-77265,heating pad,8.1,n
SUP-0320,Atlantic Solutions Hub #320,"2167, 2399, 10110, 90104","nebulizer, compression stockings",5.9,n
SUP-0321,Regional Therapeutics Corp #321,"2370, 10282, 60704, 60841, 77112","cervical collar, glucose meter, commode, blood pressure monitor, nebulizer, walker, traction device, rollator, back brace",no ratings yet,y
SUP-0322,Life Devices Center #322,"2181, 2297, 10010, 10078, 10181, 10266, 60767, 60788, 60829, 60881, 60882, 60891, 77110, 90063, 90102","oxygen, compression stockings, ankle brace, traction device, cpap, shower chair, heating pad, crutches, cervical collar, back brace, walker, cpm machine, wheelchair, nebulizer, blood pressure monitor, knee scooter",6.6,n
SUP-0323,Sunrise Therapeutics Partners #323,"2207, 10040, 10269, 10275, 60704, 60738, 60829, 77039, 77087, 77134, 77161, 77169, 90294","oxygen, commode, cane, heating pad, back brace, hospital bed, cpm machine, shower chair, wheelchair, glucose meter",no ratings yet,n
SUP-0324,Health Homecare LLC #324,"2175, 2324, 10254, 77015, 77122, 77219, 90209, 90228, 90242","ice machine, traction device, cane, oxygen, cpm machine, cervical collar, wheelchair, walker",8.2,n
SUP-0325,National Health Center #325,"2275, 60736, 77111, 77115, 77240, 90052","commode, back brace, patient lift, nebulizer, compression stockings, tens unit, glucose meter, cpap",no ratings yet,n
SUP-0326,DME Prosthetics Hub #326,77047-77122,wheelchair,no ratings yet,y
SUP-0327,Metro Wellness Corp #327,"10081, 10205, 77059","traction device, glucose meter, ice machine, cane, tens unit, back brace, ankle brace, cervical collar",7.7,n
SUP-0328,Sunrise Solutions Source #328,"2138, 10234, 60792, 60822, 60823, 77076, 77258, 90217","tens unit, commode, cane, cervical collar, back brace, walker, traction device, ice machine, nebulizer",8.2,n
SUP-0329,Life Devices Direct #329,90015-90112,"nebulizer, wheelchair, cane, ice machine, knee scooter, back brace, blood pressure monitor",6.1,n
SUP-0330,Elite Homecare Hub #330,"2190, 2267, 2275, 10196, 60695, 60711, 60889, 77211, 90071, 90160, 90214, 90239, 90293","cervical collar, patient lift, shower chair, back brace, ankle brace, commode, oxygen, nebulizer, walker",9.2,y
SUP-0331,FirstChoice Services Group #331,"2242, 2331, 10104, 60778, 60828, 77158, 90122","knee scooter, wheelchair, rollator, walker, blood pressure monitor, nebulizer",8.3,n
SUP-0332,DME Mobility Direct #332,00100-99999,"shower chair, tens unit",8.2,n
SUP-0333,Prime Products Depot #333,60787-60803,"glucose meter, patient lift, shower chair, traction device, nebulizer, heating pad, knee scooter, cane, oxygen",7.2,n
SUP-0334,National Therapeutics Express #334,"2212, 10094, 10288, 77038","cane, cpm machine, shower chair, compression stockings, tens unit, wheelchair, hospital bed, traction device, knee scooter",8.3,y
SUP-0335,Pacific Health Center #335,"2126, 2140, 2225, 2236, 2290, 10009, 10100, 10253, 10276, 90010, 90011, 90153, 90181","rollator, nebulizer, oxygen, commode, walker",6.9,y
SUP-0336,Sunrise Devices Partners #336,2315-2402,"cpap, cpm machine, hospital bed, glucose meter, crutches, knee scooter, cervical collar, patient lift, ice machine, shower chair, heating pad, nebulizer, walker, oxygen, traction device, commode, cane, back brace, compression stockings, tens unit, blood pressure monitor, wheelchair, rollator",6.2,y
SUP-0337,Life Therapeutics Express #337,60660-60715,"traction device, wheelchair, patient lift, crutches, ice machine",6.7,y
SUP-0338,Health Supply Corp #338,77147-77244,"walker, crutches",7.0,n
SUP-0339,Atlantic Prosthetics Plus #339,"2250, 2353, 2354, 10097, 60784, 60799, 77161, 77188, 77291, 90130, 90165, 90224, 90230","patient lift, back brace, ankle brace, wheelchair",5.1,n
SUP-0340,Metro Rehab Depot #340,60880-60967,wheelchair,5.2,y
SUP-0341,Life Products LLC #341,"2256, 10084, 10245, 60775, 60880","cervical collar, commode, rollator, cpm machine",no ratings yet,n
SUP-0342,Home Medical Inc #342,"90027-90077, 90160, 60619, 2208, 2376, 2330","oxygen, cpap, commode, blood pressure monitor",8.0,n
SUP-0343,Atlantic Supply Group #343,60785-60832,"patient lift, tens unit, ankle brace, cane, traction device",8.6,y
SUP-0344,Sunrise Rehab Hub #344,"60660, 60784, 90202","hospital bed, cpm machine, patient lift, crutches, ankle brace, oxygen, heating pad, rollator, knee scooter, cpap, shower chair, cervical collar",7.6,n
SUP-0345,Life Ortho Express #345,10108-10203,"traction device, ice machine, cane, compression stockings, patient lift, walker, blood pressure monitor",8.7,y
SUP-0346,ProCare Homecare Partners #346,00100-99999,commode,5.2,y
SUP-0347,Allied Mobility Direct #347,2322-2372,traction device,no ratings yet,y
SUP-0348,Sunrise Health Center #348,10038-10093,"crutches, traction device, wheelchair, shower chair, blood pressure monitor, walker, knee scooter, hospital bed, oxygen, ice machine, glucose meter, ankle brace",6.3,n
SUP-0349,Home Homecare Direct #349,90152-90243,traction device,9.9,n
SUP-0350,Care Therapeutics Network #350,10022-10032,"patient lift, blood pressure monitor, crutches, compression stockings, wheelchair",6.3,n
SUP-0351,Prime Mobility Depot #351,"77083-77104, 90068, 77219",commode,6.5,n
SUP-0352,Vital Wellness Depot #352,60635-60677,wheelchair,6.8,n
SUP-0353,Atlantic Equipment Depot #353,10146-10235,compression stockings,5.0,y
SUP-0354,Elite Equipment Hub #354,60820-60851,cpap,7.6,n
SUP-0355,Central Solutions Network #355,"2116, 2151, 2186, 2201, 2333, 10168, 10223, 60628, 60682, 60737, 77061, 90047, 90127","patient lift, compression stockings, cpm machine, tens unit, blood pressure monitor, shower chair, ankle brace",5.1,n
SUP-0356,Elite Supply Co #356,90277-90347,"heating pad, hospital bed, cpap, rollator, crutches, cervical collar, knee scooter",5.0,y
SUP-0357,Atlantic Therapeutics Co #357,90085-90160,commode,9.1,n
SUP-0358,FirstChoice Services Co #358,"2264, 10088, 10129, 60742, 60759, 77125, 77176, 77181, 77243, 90174","back brace, tens unit, glucose meter, cane, walker",6.3,n
SUP-0359,Allied Prosthetics Source #359,"2262, 2371, 10160, 60751, 60773, 60774, 60778, 77058, 77217, 90008, 90143","oxygen, hospital bed, heating pad, traction device, nebulizer, shower chair, ankle brace, wheelchair, cervical collar, cpap, blood pressure monitor, cane, back brace, cpm machine",7.2,y
SUP-0360,DME Products Group #360,"2184, 2185, 2190, 10233, 77133, 90014, 90187, 90280",ice machine,no ratings yet,y
SUP-0361,Elite Devices Inc #361,"2262, 2358, 2376, 10081, 10115, 60833, 77002, 77042, 77070, 77230, 90032","blood pressure monitor, compression stockings, knee scooter, shower chair, nebulizer, tens unit, commode, cpap",7.9,n
SUP-0362,Elite Prosthetics Center #362,"2132, 2250, 10141, 60704, 60777, 60792, 77045, 77172, 77243, 90014, 90026, 90209, 90288",ankle brace,8.1,n
SUP-0363,Home Devices LLC #363,"2191, 2234, 2292, 2308, 10003, 10080, 10191, 10241, 10267, 90033, 90040, 90155","oxygen, ice machine, heating pad, back brace, wheelchair, walker, cpap, nebulizer, hospital bed",5.6,n
SUP-0364,Elite Health Direct #364,"2317, 10012, 10172, 60839, 77089, 77178, 77229, 77282, 90030, 90257","rollator, oxygen, cane, walker, ankle brace, hospital bed",6.5,y
SUP-0365,Home Mobility Depot #365,60875-60939,"traction device, hospital bed, compression stockings, ice machine",5.8,n
SUP-0366,Life Services Express #366,60758-60841,"wheelchair, cervical collar, traction device, cane, cpap",6.7,y
SUP-0367,Regional Ortho Partners #367,90027-90057,"blood pressure monitor, cervical collar",6.2,n
SUP-0368,Med Health Corp #368,"10078, 60790, 90052, 90288","shower chair, tens unit, oxygen, crutches, wheelchair, back brace, commode, nebulizer, knee scooter, ankle brace, cane, glucose meter, cpm machine, cervical collar, ice machine, traction device, walker",6.3,n
SUP-0369,Life Health Corp #369,60803-60864,"wheelchair, walker",no ratings yet,y
SUP-0370,National Homecare Network #370,90179-90233,"cpap, shower chair, compression stockings, knee scooter, hospital bed, rollator, ankle brace, cpm machine, commode, traction device, oxygen, back brace, ice machine, walker, heating pad",5.7,n
SUP-0371,QuickMed Solutions Express #371,90129-90227,"rollator, nebulizer, cpap, glucose meter, knee scooter",9.4,n
SUP-0372,Allied Health Direct #372,77118-77168,"oxygen, patient lift, ankle brace, walker",5.2,y
SUP-0373,Med Mobility Depot #373,60639-60719,"glucose meter, heating pad, compression stockings, rollator, cpm machine, commode, traction device, nebulizer, patient lift, cane, walker, knee scooter, cervical collar, hospital bed, wheelchair, crutches, shower chair, oxygen",7.4,n
SUP-0374,FirstChoice Devices Co #374,90022-90093,"nebulizer, rollator, cpm machine, commode",7.6,n
SUP-0375,Allied Mobility Group #375,77028-77105,"patient lift, back brace, oxygen, heating pad, hospital bed, commode, knee scooter, cane, wheelchair",9.2,y
SUP-0376,DME Services Partners #376,60696-60776,"nebulizer, shower chair, glucose meter, heating pad",7.1,n
SUP-0377,Central Homecare Center #377,"2127, 2374, 2383, 10205, 10269, 77070, 77170, 77274, 90209","patient lift, ice machine, hospital bed, compression stockings, cervical collar, shower chair, nebulizer",7.8,n
SUP-0378,QuickMed Therapeutics Source #378,"2355, 2366, 10098, 10123, 10203, 60617, 60818, 77036, 77215, 90219","nebulizer, tens unit, cane, knee scooter",8.6,y
SUP-0379,Atlantic Therapeutics Express #379,"60777-60788, 10249, 60722, 90196, 90045",rollator,2.9,y
SUP-0380,Pacific Products Express #380,2141-2199,"tens unit, cervical collar, commode, wheelchair, glucose meter, ice machine, hospital bed, blood pressure monitor, oxygen",6.0,y
SUP-0381,Pacific Products Corp #381,90203-90247,"wheelchair, rollator, oxygen, knee scooter, ice machine, commode, walker, ankle brace",no ratings yet,y
